Date,Count,Status ,av
14/03/20,81,Cases,
15/03/20,27,Cases,
16/03/20,15,Cases,
17/03/20,11,Cases,
18/03/20,37,Cases,
19/03/20,27,Cases,
20/03/20,58,Cases,36.57142857
21/03/20,78,Cases,36.14285714
22/03/20,67,Cases,41.85714286
23/03/20,102,Cases,54.28571429
24/03/20,64,Cases,61.85714286
25/03/20,90,Cases,69.42857143
26/03/20,65,Cases,74.85714286
27/03/20,164,Cases,90
28/03/20,143,Cases,99.28571429
29/03/20,110,Cases,105.4285714
30/03/20,187,Cases,117.5714286
31/03/20,309,Cases,152.5714286
01/04/20,424,Cases,200.2857143
02/04/20,486,Cases,260.4285714
03/04/20,560,Cases,317
04/04/20,579,Cases,379.2857143
05/04/20,609,Cases,450.5714286
06/04/20,484,Cases,493
07/04/20,573,Cases,530.7142857
08/04/20,565,Cases,550.8571429
09/04/20,813,Cases,597.5714286
10/04/20,871,Cases,642
11/04/20,854,Cases,681.2857143
12/04/20,758,Cases,702.5714286
13/04/20,1243,Cases,811
14/04/20,1031,Cases,876.4285714
15/04/20,886,Cases,922.2857143
16/04/20,1061,Cases,957.7142857
17/04/20,922,Cases,965
18/04/20,1371,Cases,1038.857143
19/04/20,1580,Cases,1156.285714
20/04/20,1239,Cases,1155.714286
21/04/20,1537,Cases,1228
22/04/20,1292,Cases,1286
23/04/20,1667,Cases,1372.571429
24/04/20,1408,Cases,1442
25/04/20,1835,Cases,1508.285714
26/04/20,1607,Cases,1512.142857
27/04/20,1568,Cases,1559.142857
28/04/20,1902,Cases,1611.285714
29/04/20,1705,Cases,1670.285714
30/04/20,1802,Cases,1689.571429
01/05/20,2396,Cases,1830.714286
02/05/20,2564,Cases,1934.857143
03/05/20,2952,Cases,2127
04/05/20,3656,Cases,2425.285714
05/05/20,2971,Cases,2578
06/05/20,3602,Cases,2849
07/05/20,3344,Cases,3069.285714
08/05/20,3339,Cases,3204
09/05/20,3175,Cases,3291.285714
10/05/20,4311,Cases,3485.428571
11/05/20,3592,Cases,3476.285714
12/05/20,3562,Cases,3560.714286
13/05/20,3726,Cases,3578.428571
14/05/20,3991,Cases,3670.857143
15/05/20,3808,Cases,3737.857143
16/05/20,4794,Cases,3969.142857
17/05/20,5049,Cases,4074.571429
18/05/20,4628,Cases,4222.571429
19/05/20,6154,Cases,4592.857143
20/05/20,5720,Cases,4877.714286
21/05/20,6023,Cases,5168
22/05/20,6536,Cases,5557.714286
23/05/20,6665,Cases,5825
24/05/20,7111,Cases,6119.571429
25/05/20,6414,Cases,6374.714286
26/05/20,5907,Cases,6339.428571
27/05/20,7246,Cases,6557.428571
28/05/20,7254,Cases,6733.285714
29/05/20,8138,Cases,6962.142857
30/05/20,8364,Cases,7204.857143
31/05/20,8789,Cases,7444.571429
01/06/20,7723,Cases,7631.571429
02/06/20,8812,Cases,8046.571429
03/06/20,9689,Cases,8395.571429
04/06/20,9847,Cases,8766
05/06/20,9472,Cases,8956.571429
06/06/20,10408,Cases,9248.571429
07/06/20,10882,Cases,9547.571429
08/06/20,8536,Cases,9663.714286
09/06/20,9981,Cases,9830.714286
10/06/20,11156,Cases,10040.28571
11/06/20,11135,Cases,10224.28571
12/06/20,11306,Cases,10486.28571
13/06/20,12039,Cases,10719.28571
14/06/20,11405,Cases,10794
15/06/20,10032,Cases,11007.71429
16/06/20,11086,Cases,11165.57143
17/06/20,13108,Cases,11444.42857
18/06/20,13829,Cases,11829.28571
19/06/20,14638,Cases,12305.28571
20/06/20,15918,Cases,12859.42857
21/06/20,15151,Cases,13394.57143
22/06/20,13560,Cases,13898.57143
23/06/20,15656,Cases,14551.42857
24/06/20,16868,Cases,15088.57143
25/06/20,18205,Cases,15713.71429
26/06/20,18255,Cases,16230.42857
27/06/20,20142,Cases,16833.85714
28/06/20,19610,Cases,17470.85714
29/06/20,18339,Cases,18153.57143
30/06/20,18256,Cases,18525
01/07/20,19429,Cases,18890.85714
02/07/20,21947,Cases,19425.42857
03/07/20,22718,Cases,20063
04/07/20,24018,Cases,20616.71429
05/07/20,23942,Cases,21235.57143
06/07/20,22500,Cases,21830
07/07/20,23147,Cases,22528.71429
08/07/20,25561,Cases,23404.71429
09/07/20,25790,Cases,23953.71429
10/07/20,27762,Cases,24674.28571
11/07/20,27757,Cases,25208.42857
12/07/20,29106,Cases,25946.14286
13/07/20,28178,Cases,26757.28571
14/07/20,29917,Cases,27724.42857
15/07/20,32607,Cases,28731
16/07/20,35468,Cases,30113.57143
17/07/20,34820,Cases,31121.85714
18/07/20,37411,Cases,32501
19/07/20,40235,Cases,34090.85714
20/07/20,36806,Cases,35323.42857
21/07/20,39170,Cases,36645.28571
22/07/20,45601,Cases,38501.57143
23/07/20,48443,Cases,40355.14286
24/07/20,48888,Cases,42364.85714
25/07/20,50072,Cases,44173.57143
26/07/20,48932,Cases,45416
27/07/20,46484,Cases,46798.57143
28/07/20,49631,Cases,48293
29/07/20,52479,Cases,49275.57143
30/07/20,54968,Cases,50207.71429
31/07/20,57486,Cases,51436
01/08/20,55117,Cases,52156.71429
02/08/20,52672,Cases,52691
03/08/20,50488,Cases,53263
04/08/20,51282,Cases,53498.85714
05/08/20,56626,Cases,54091.28571
06/08/20,62170,Cases,55120.14286
07/08/20,61455,Cases,55687.14286
08/08/20,65156,Cases,57121.28571
09/08/20,62117,Cases,58470.57143
10/08/20,53016,Cases,58831.71429
11/08/20,61252,Cases,60256
12/08/20,67066,Cases,61747.42857
13/08/20,64141,Cases,62029
14/08/20,65610,Cases,62622.57143
15/08/20,63986,Cases,62455.42857
16/08/20,58096,Cases,61881
17/08/20,54298,Cases,62064.14286
18/08/20,64999,Cases,62599.42857
19/08/20,69196,Cases,62903.71429
20/08/20,68518,Cases,63529
21/08/20,68519,Cases,63944.57143
22/08/20,70067,Cases,64813.28571
23/08/20,61749,Cases,65335.14286
24/08/20,59696,Cases,66106.28571
25/08/20,66873,Cases,66374
26/08/20,75995,Cases,67345.28571
27/08/20,76827,Cases,68532.28571
28/08/20,76657,Cases,69694.85714
29/08/20,78479,Cases,70896.57143
30/08/20,79461,Cases,73426.85714
31/08/20,68766,Cases,74722.57143
01/09/20,78168,Cases,76336.14286
02/09/20,82860,Cases,77316.85714
03/09/20,84156,Cases,78363.85714
04/09/20,87115,Cases,79857.85714
05/09/20,90600,Cases,81589.42857
06/09/20,91725,Cases,83341.42857
07/09/20,75015,Cases,84234.14286
08/09/20,89855,Cases,85903.71429
09/09/20,95536,Cases,87714.57143
10/09/20,96762,Cases,89515.42857
11/09/20,97655,Cases,91021.14286
12/09/20,94414,Cases,91566
13/09/20,93220,Cases,91779.57143
14/09/20,81913,Cases,92765
15/09/20,91098,Cases,92942.57143
16/09/20,97860,Cases,93274.57143
17/09/20,96787,Cases,93278.14286
18/09/20,92973,Cases,92609.28571
19/09/20,92574,Cases,92346.42857
20/09/20,87395,Cases,91514.28571
21/09/20,74493,Cases,90454.28571
22/09/20,83362,Cases,89349.14286
23/09/20,86703,Cases,87755.28571
24/09/20,85921,Cases,86203
25/09/20,85717,Cases,85166.42857
26/09/20,88759,Cases,84621.42857
27/09/20,82770,Cases,83960.71429
28/09/20,69669,Cases,83271.57143
29/09/20,80500,Cases,82862.71429
30/09/20,86748,Cases,82869.14286
01/10/20,81784,Cases,82278.14286
02/10/20,79883,Cases,81444.71429
03/10/20,75479,Cases,79547.57143
04/10/20,74770,Cases,78404.71429
05/10/20,60130,Cases,77042
06/10/20,71869,Cases,75809
07/10/20,78809,Cases,74674.85714
08/10/20,70797,Cases,73105.28571
09/10/20,73305,Cases,72165.57143
10/10/20,74418,Cases,72014
11/10/20,67789,Cases,71016.71429
12/10/20,54262,Cases,70178.42857
13/10/20,63717,Cases,69013.85714
14/10/20,67811,Cases,67442.71429
15/10/20,63441,Cases,66391.85714
16/10/20,62304,Cases,64820.28571
17/10/20,61893,Cases,63031
18/10/20,56519,Cases,61421
19/10/20,45506,Cases,60170.14286
20/10/20,54348,Cases,58831.71429
21/10/20,56264,Cases,57182.14286
22/10/20,54371,Cases,55886.42857
23/10/20,53931,Cases,54690.28571
24/10/20,50366,Cases,53043.57143
25/10/20,45922,Cases,51529.71429
26/10/20,36019,Cases,50174.42857
27/10/20,43036,Cases,48558.42857
28/10/20,50188,Cases,47690.42857
29/10/20,48765,Cases,46889.57143
30/10/20,48117,Cases,46059
31/10/20,47228,Cases,45610.71429
01/11/20,45928,Cases,45611.57143
02/11/20,37592,Cases,45836.28571
03/11/20,46027,Cases,46263.57143
04/11/20,50465,Cases,46303.14286
05/11/20,47628,Cases,46140.71429
06/11/20,50017,Cases,46412.14286
07/11/20,46153,Cases,46258.57143
08/11/20,46707,Cases,46369.85714
09/11/20,37119,Cases,46302.28571
10/11/20,44724,Cases,46116.14286
11/11/20,48285,Cases,45804.71429
12/11/20,44585,Cases,45370
13/11/20,44620,Cases,44599
14/11/20,41692,Cases,43961.71429
15/11/20,30681,Cases,41672.28571
16/11/20,28609,Cases,40456.57143
17/11/20,38548,Cases,39574.28571
18/11/20,45366,Cases,39157.28571
19/11/20,46185,Cases,39385.85714
20/11/20,46283,Cases,39623.42857
21/11/20,45301,Cases,40139
22/11/20,44404,Cases,42099.42857
23/11/20,37441,Cases,43361.14286
24/11/20,44245,Cases,44175
25/11/20,44699,Cases,44079.71429
26/11/20,43174,Cases,43649.57143
27/11/20,41353,Cases,42945.28571
28/11/20,41815,Cases,42447.28571
29/11/20,39036,Cases,41680.42857
30/11/20,31179,Cases,40785.85714
01/12/20,36474,Cases,39675.71429
02/12/20,35506,Cases,38362.42857
03/12/20,36574,Cases,37419.57143
04/12/20,36711,Cases,36756.42857
05/12/20,36010,Cases,35927.14286
06/12/20,33178,Cases,35090.28571
07/12/20,26227,Cases,34382.85714
08/12/20,32083,Cases,33755.57143
09/12/20,31637,Cases,33202.85714
10/12/20,29411,Cases,32179.57143
11/12/20,29961,Cases,31215.28571
12/12/20,30354,Cases,30407.28571
13/12/20,27336,Cases,29572.71429
14/12/20,21941,Cases,28960.42857
15/12/20,26251,Cases,28127.28571
16/12/20,18172,Cases,26203.71429
17/12/20,26754,Cases,25824.14286
18/12/20,26991,Cases,25399.85714
19/12/20,26834,Cases,24897
20/12/20,24622,Cases,24509.28571
21/12/20,19147,Cases,24110.14286
22/12/20,23880,Cases,23771.42857
23/12/20,24716,Cases,24706.28571
24/12/20,23444,Cases,24233.42857
25/12/20,22349,Cases,23570.28571
26/12/20,18575,Cases,22390.42857
27/12/20,20333,Cases,21777.71429
