date,total
19/03/21,13443801
26/03/21,15235112
02/04/21,13611961
09/04/21,24746875
16/04/21,20793363
23/04/21,17035426
30/04/21,15481515
07/05/21,12162520
14/05/21,12832591
21/05/21,9210807
28/05/21,14681226
04/06/21,17967046
11/06/21,21178174
18/06/21,22052173
25/06/21,41202974
02/07/21,29631888
09/07/21,27146857
16/07/21,25152844
23/07/21,28222127
30/07/21,33775451
06/08/21,34016680
13/08/21,34870074
20/08/21,39811160
27/08/21,47204008
03/09/21,53878972
10/09/21,53397613
17/09/21,66891331
24/09/21,53311839
01/10/21,48468305
08/10/21,42250723
15/10/21,31893473
22/10/21,37162012
29/10/21,40944477
05/11/21,24336346
12/11/21,34943988
19/11/21,43498150
26/11/21,52524194
03/12/21,53963376
10/12/21,54007780
17/12/21,45903295
24/12/21,42900929
31/12/21,40905167
07/01/22,54761236
14/01/22,52957753
21/01/22,41870997
